x y solution
0.380392 0.00784314 0.0504253
0.384314 0.00784314 0.0490805
0.388235 0.00784314 0.0477059
0.392157 0.00784314 0.0463023
0.396078 0.00784314 0.0448706
0.4 0.00784314 0.0434117
0.403922 0.00784314 0.0419264
0.407843 0.00784314 0.0404156
0.411765 0.00784314 0.0388804
0.415686 0.00784314 0.0373215
0.419608 0.00784314 0.0357399
0.423529 0.00784314 0.0341367
0.427451 0.00784314 0.0325127
0.431373 0.00784314 0.030869
0.435294 0.00784314 0.0292066
0.439216 0.00784314 0.0275264
0.443137 0.00784314 0.0258296
0.447059 0.00784314 0.024117
0.45098 0.00784314 0.0223898
0.454902 0.00784314 0.020649
0.458824 0.00784314 0.0188957
0.462745 0.00784314 0.0171308
0.466667 0.00784314 0.0153556
0.470588 0.00784314 0.0135711
0.47451 0.00784314 0.0117783
0.478431 0.00784314 0.00997843
0.482353 0.00784314 0.00817245
0.486275 0.00784314 0.00636152
0.490196 0.00784314 0.00454672
0.494118 0.00784314 0.00272916
0.498039 0.00784314 0.000909945
0.501961 0.00784314 -0.000909823
0.505882 0.00784314 -0.00272904
0.509804 0.00784314 -0.0045466
0.513725 0.00784314 -0.0063614
0.517647 0.00784314 -0.00817233
0.521569 0.00784314 -0.00997831
0.52549 0.00784314 -0.0117782
0.529412 0.00784314 -0.013571
0.533333 0.00784314 -0.0153555
0.537255 0.00784314 -0.0171307
0.541176 0.00784314 -0.0188955
0.545098 0.00784314 -0.0206489
0.54902 0.00784314 -0.0223897
0.552941 0.00784314 -0.0241169
0.556863 0.00784314 -0.0258294
0.560784 0.00784314 -0.0275263
